"","Office","Official Name","Party Affiliation","Address","City/State/Zip", "Phone","Website","Next on Ballot","Term (years)"
"","President of the United States","Barack Obama","Democrat","1600 Pennsylvania Avenue NW","Washington, DC 20500","202-456-1111","http://whitehouse.gov/","2012","4"
"","United States Senator","Kay Bailey Hutchison","Republican","284 Russell Senate Building","Washington, DC 20510","202-224-5922","http://hutchison.senate.gov/","2012","6"
"","United States Senator","John Cornyn","Republican","517 Hart Senate Building","Washington, DC 20510","202-224-2934","http://cornyn.senate.gov/","2012","6"
"U.S. House of Representatives","Congressman, 10th District","Michael McCaul","Republican","5929 Balcones Drive, Suite 305","Austin, TX 78731","512-473-2357","http://mccaul.house.gov/","2012","2"
"U.S. House of Representatives","Congressman, 21st District","Lamar Smith","Republican","3532 Bee Cave Road, Suite 100","Austin, TX 78746","512-306-0439","http://lamarsmith.house.gov/","2012","2"
"U.S. House of Representatives","Congressman, 25th District","Lloyd Doggett","Democrat","300 East 8th Street, Suite 763","Austin, TX 78701","512-916-5921 or 866-916-5921","http://doggett.house.gov/","2012","2"
"","Governor","Rick Perry","Republican","PO Box 12428","Austin, TX 78711","512-463-2000","http://governor.state.tx.us/","2014","4"
"","Lieutenant Governor","David Dewhurst","Republican","PO Box 12068","Austin, TX 78711","512-463-0001","http://www.ltgov.state.tx.us/","2014","4"
"Texas Supreme Court","Chief Justice (Place 1)","Wallace B. Jefferson","Republican","PO Box 12248","Austin, TX 78711","512-463-7899","http://www.supreme.courts.state.tx.us/court/justice_wjefferson.asp","2014","6"
"Texas Supreme Court","Justice, Place 2","Don R. Willett","Republican","PO Box 12248","Austin, TX 78711","512-463-1344","http://www.supreme.courts.state.tx.us/court/justice_dwillett.asp","2012","6"
"Texas Supreme Court","Justice, Place 3","Debra Lehrmann","Republican","PO Box 12248","Austin, TX 78711","512-463-1320","http://www.supreme.courts.state.tx.us/court/justice_dlehrmann.asp","2016","6"
"Texas Supreme Court","Justice, Place 4","David Medina","Republican","PO Box 12248","Austin, TX 78711","512-463-1316","http://www.supreme.courts.state.tx.us/court/justice_dmedina.asp","2012","6"
"Texas Supreme Court","Justice, Place 5","Paul Green","Republican","PO Box 12248","Austin, TX 78711","512-463-1328","http://www.supreme.courts.state.tx.us/court/justice_pgreen.asp","2016","6"
"Texas Supreme Court","Justice, Place 6","Nathan Hecht","Republican","PO Box 12248","Austin, TX 78711","512-463-1348","http://www.supreme.courts.state.tx.us/court/justice_nhecht.asp","2012","6"
"Texas Supreme Court","Justice, Place 7","J. Dale Wainwright","Republican","PO Box 12248","Austin, TX 78711","512-463-1332","http://www.supreme.courts.state.tx.us/court/justice_dwainwright.asp","2014","6"
"Texas Supreme Court","Justice, Place 8","Phil Johnson","Republican","PO Box 12248","Austin, TX 78711","512-463-1332","http://www.supreme.courts.state.tx.us/court/justice_pjohnson.asp","2014","6"
"Texas Supreme Court","Justice, Place 9","Eva Guzman","Republican","PO Box 12248","Austin, TX 78711","512-463-1340","http://www.supreme.courts.state.tx.us/court/justice_eguzman.asp","2016","6"
"Texas Court of Criminal Appeals","Presiding Judge","Sharon Keller","Republican","PO Box 12308","Austin, TX 78711","512-463-1590","http://www.cca.courts.state.tx.us/court/judge_skeller.asp","2012","6"
"Texas Court of Criminal Appeals","Judge, Place 2","Lawrence E. Meyers","Republican","PO Box 12308","Austin, TX 78711","512-463-1580","http://www.cca.courts.state.tx.us/court/judge_lmeyers.asp","2016","6"
"Texas Court of Criminal Appeals","Judge, Place 3","Tom Price","Republican","PO Box 12308","Austin, TX 78711","512-463-1565","http://www.cca.courts.state.tx.us/court/judge_tprice.asp","2014","6"
