Position,Candidate Name,First Name,Last Name,Date Filed,Candidate Contract Filed?,Filings Link
Mayor,"Adler, Stephen",Stephen,Adler,8/4/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=185
Mayor,"Cole, Sheryl",Sheryl,Cole,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=92
Mayor,"Culver, Ronald J. ""Ron""",Ron,Culver,7/23/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=239
Mayor,"Krenek, Mary C.",Mary,Krenek,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=253
Mayor,"Martinez, Mike",Mike,Martinez,7/21/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=90
Mayor,"Orshalick, David M.",David,Orshalick,8/15/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=249
Mayor,"Phelps, Todd H.",Todd,Phelps,8/13/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=212
Mayor,"Stephens, Randall F.",Randall,Stephens,8/7/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=202
1,"Bucknall, Andrew J.",Andrew,Bucknall,8/8/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=12
1,"Cargill, Michael D.",Michael,Cargill,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=250
1,"Hindman, George W.",George,Hindman,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=252
1,"Houston, Ora",Ora,Houston,8/4/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=213
1,"Hutchins, Christopher J. ""Chris""",Chris,Hutchins,8/18/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=236
1,"Jacobson, Norman A.",Norman,Jacobson,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=142
1,"Lofton, DeWayne W.",DeWayne,Lofton,8/11/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=72
1,"Menard, Valerie M.",Valerie,Menard,8/13/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=233
1,"Osemene, Samuel A.",Samuel,Osemene,7/30/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=107
2,"Garza, Delia",Delia,Garza,7/25/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=206
2,"Owen, Mike",Mike,Owen,8/18/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=251
2,"Reyes Jr., Edward A. ""Wally""",Wally,Reyes Jr.,8/18/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=223
2,"Sheppard, John C.",John,Sheppard,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=256
3,"Almanza, Susana R.",Susana,Almanza,7/21/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=200
3,"Cantu, Mario G.",Mario,Cantu,8/1/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=190
3,"Fernandez, Julian Limon",Julian Limon,Fernandez,8/15/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=221
3,"Hoerster, Christopher L. ""Chris""",Chris,Hoerster,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=248
3,"Ireland, Shaun D.",Shaun,Ireland,8/15/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=167
3,"McGhee, Fred",Fred,McGhee,8/12/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=203
3,"Phillips, Kent K.",Kent,Phillips,8/18/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=240
3,"Quintero, Jose",Jose,Quintero,8/15/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=131
3,"Rangel, Eric J.",Eric,Rangel,8/15/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=136
3,"Renteria, Sabino ""Pio""",Pio,Renteria,7/30/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=228
3,"Turullols-Bonilla, Ricardo",Ricardo,Turullols-Bonilla,8/11/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=222
3,"Valera, Jose A.",Jose,Valera,8/15/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=247
4,"Casar, Gregorio E. ""Greg""",Greg,Casar,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=188
4,"Daniel, Katrina M.",Katrina,Daniel,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=219
4,"Guzman, Monica A.",Monica,Guzman,8/18/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=224
4,"Herrin III, Louis C.",Louis,Herrin III,8/18/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=231
4,"Mancillas, Marco",Marco,Mancillas,8/18/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=197
4,"Mays, Sharon E.",Sharon,Mays,8/15/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=204
4,"Perez Jr., Roberto",Roberto,Perez Jr.,8/5/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=229
4,"Pressley, Laura",Laura,Pressley,8/1/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=159
5,"Buda, Daniel",Daniel,Buda,8/13/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=214
5,"Denny, Jason R.",Jason,Denny,8/14/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=217
5,"Floyd, William David ""Dave""",Dave,Floyd,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=230
5,"Kennedy, CarolAnneRose",CarolAnneRose,Kennedy,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=254
5,"Kitchen, Ann",Ann,Kitchen,8/6/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=191
5,"Rodriguez, Luis M. ""Mike""",Mike,Rodriguez,7/21/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=220
5,"Senecal, David C.",David,Senecal,7/21/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=235
6,"Flannigan, James T. ""Jimmy""",Jimmy,Flannigan,7/21/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=193
6,"Kelly, Mackenzie",Mackenzie,Kelly,8/14/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=245
6,"Phillips Jr., Lloyd ""Pete""",Pete,Phillips Jr.,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=216
6,"Stillwell, Matthew D. ""Matt""",Matt,Stillwell,8/15/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=199
6,"Wiley, Jay",Jay,Wiley,7/21/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=181
6,"Zimmerman, Donald S. ""Don""",Don,Zimmerman,8/13/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=238
7,"Boyt, Jefferson E. ""Jeb""",Jeb,Boyt,7/22/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=196
7,"English, Edwin E. ""Ed""",Ed,English,8/5/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=187
7,"Ingraham, Zachary R.",Zachary,Ingraham,8/15/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=241
7,"Paver, James A. ""Jimmy""",Jimmy,Paver,8/4/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=209
7,"Pool, Leslie",Leslie,Pool,8/8/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=234
7,"Salazar, Pete A. (Jr.)",Pete,Salazar,8/13/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=189
7,"Wittle, Darryl R.",Darryl,Wittle,8/18/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=255
7,"Zone, Melissa A.",Melissa,Zone,7/21/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=225
8,"Bray, Rebecca A. ""Becky""",Becky,Bray,7/24/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=215
8,"May, Eliza",Eliza,May,8/8/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=81
8,"Pierce, Darrell",Darrell,Pierce,8/13/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=74
8,"Scruggs, Edward S.",Edward,Scruggs,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=198
8,"Troxclair, Ellen",Ellen,Troxclair,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=232
9,"McGann, Erin K.",Erin,McGann,8/18/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=210
9,"Riley, Chris",Chris,Riley,8/14/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=126
9,"Tovo, Kathryne Beth",Kathryne Beth,Tovo,8/8/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=143
10,"Burciaga, Marjorie ""Margie""",Margie,Burciaga,7/22/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=186
10,"Cannon, Audrey ""Tina""",Tina,Cannon,8/15/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=162
10,"Dealey, Amanda ""Mandy""",Mandy,Dealey,8/11/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=22
10,"Gallo, Sheri P.",Sheri,Gallo,7/22/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=194
10,"Lamon, Matthew L. ""Matt""",Matt,Lamon,7/24/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=201
10,"Meeker, Jason W.",Jason,Meeker,8/18/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=112
10,"Thomas, Robert D.",Robert,Thomas,8/15/2014,false,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=192
10,"Worsham, William L. ""Bill""",Bill,Worsham,8/18/2014,true,http://www.austintexas.gov/edims/pac_search_result.cfm?candidate_pac=169
# Source,ballotapplications2014.html
# Generated,2014-08-20 10:46:41 -0500
